iter	MultiClass
0	0.6880920892
1	0.6813110363
2	0.6746029981
3	0.6672171375
4	0.6635182513
5	0.6577565348
6	0.6519764576
7	0.6454902343
8	0.6398874439
9	0.6350202906
10	0.6303078328
11	0.6265035547
12	0.6207328764
13	0.6159241061
14	0.6133558295
15	0.6103897466
16	0.6071519403
17	0.604410143
18	0.6010524844
19	0.5977895312
20	0.5944755776
21	0.5911737999
22	0.5886312189
23	0.5854373844
24	0.5830114584
25	0.581303298
26	0.577967118
27	0.5766131462
28	0.5745849384
29	0.5720404057
30	0.5698666381
31	0.5674005313
32	0.5650703071
33	0.5629328799
34	0.5606585931
35	0.5591346117
36	0.55772246
37	0.5565780615
38	0.5547981024
39	0.5540555448
40	0.5528549051
41	0.5513421355
42	0.5492800476
43	0.5477283219
44	0.5452699143
45	0.5430042369
46	0.5408688359
47	0.5400103329
48	0.5381031152
49	0.5371967646
50	0.5348658356
51	0.5341939722
52	0.5328140743
53	0.5315631424
54	0.5301832306
55	0.5288019559
56	0.5279712301
57	0.526652064
58	0.5247035333
59	0.5237822094
60	0.522886745
61	0.5217317038
62	0.5212070952
63	0.5199793435
64	0.5194549201
65	0.5178587519
66	0.5169760678
67	0.516063583
68	0.5154235093
69	0.5141143732
70	0.5121148128
71	0.5111006947
72	0.5095657022
73	0.5087703608
74	0.5081176031
75	0.5069483551
76	0.5057336349
77	0.5051141045
78	0.5046938534
79	0.5032690904
80	0.5010544275
81	0.5006341951
82	0.4998545017
83	0.4988926126
84	0.4978910326
85	0.4972859738
86	0.4964305086
87	0.4956889498
88	0.4951112184
89	0.4943387786
90	0.4936192668
91	0.4931715376
92	0.4924741109
93	0.4907066796
94	0.4902205818
95	0.4895807361
96	0.4888560456
97	0.488384467
98	0.4879550338
99	0.4875932857
100	0.4870886102
101	0.4855976436
102	0.4845511433
103	0.4829216385
104	0.4816401358
105	0.4803893071
106	0.4796038849
107	0.4791167503
108	0.4783807151
109	0.4771261396
110	0.4767654212
111	0.4759618631
112	0.4749869829
113	0.4738759156
114	0.4731196889
115	0.4719503157
116	0.4706580676
117	0.4692290802
118	0.4676566114
119	0.4671868657
120	0.466587591
121	0.4663954615
122	0.4661785486
123	0.4653134348
124	0.4646257368
125	0.4630990865
126	0.4628301065
127	0.462096168
128	0.4607734459
129	0.4601089689
130	0.4590473804
131	0.4585449518
132	0.4580998235
133	0.4573521266
134	0.4569255351
135	0.4560560564
136	0.4545893958
137	0.4540565926
138	0.4528366466
139	0.4519765562
140	0.4510469123
141	0.4501159398
142	0.449576773
143	0.4484242112
144	0.4477880573
145	0.4456908562
146	0.4447168673
147	0.4439948447
148	0.4432560578
149	0.4421278652
150	0.4413932218
151	0.4404794239
152	0.4394440258
153	0.4381826269
154	0.4370061319
155	0.4352552424
156	0.4342583599
157	0.4338403976
158	0.4332495359
159	0.4326918882
160	0.4321595267
161	0.4313425796
162	0.4304967614
163	0.4299002159
164	0.4290343939
165	0.428121156
166	0.4268070176
167	0.4260142878
168	0.4253288529
169	0.4244217517
170	0.4234564565
171	0.4224567622
172	0.4212146523
173	0.420593402
174	0.4199352785
175	0.4185994558
176	0.4176630737
177	0.4171564196
178	0.4166047029
179	0.4160112364
180	0.4147969659
181	0.4139820137
182	0.4134938412
183	0.4127603599
184	0.4118857117
185	0.4110153317
186	0.4104638428
187	0.4094443778
188	0.4086039096
189	0.4075650546
190	0.4061976568
191	0.4054342357
192	0.4047376291
193	0.4034135287
194	0.4028973849
195	0.4021169419
196	0.4007198913
197	0.399793644
198	0.3987585439
199	0.3983488498
200	0.397969946
201	0.3973736496
202	0.3966606906
203	0.3962104191
204	0.3956423184
205	0.3946733824
206	0.394287288
207	0.3930963306
208	0.3917559905
209	0.3912989139
210	0.3902424476
211	0.3892082202
212	0.3883805708
213	0.3873280691
214	0.3866600558
215	0.3860804532
216	0.3851849005
217	0.384508629
218	0.3838252844
219	0.3831616904
220	0.3826074403
221	0.382036789
222	0.3814269202
223	0.3806638337
224	0.3800212069
225	0.3795578603
226	0.378607129
227	0.3781755513
228	0.3775269983
229	0.3771780126
230	0.3763165783
231	0.3753649379
232	0.3748857048
233	0.3742642079
234	0.3733341432
235	0.3726540005
236	0.3717750672
237	0.3711851482
238	0.3709071207
239	0.3701490498
240	0.3697243825
241	0.3691507339
242	0.3684701952
243	0.3681640968
244	0.3676515982
245	0.3669033306
246	0.3660093546
247	0.3654296595
248	0.3639567952
249	0.3636704054
250	0.3634695713
251	0.3628208383
252	0.3618925479
253	0.3614454599
254	0.3613354185
255	0.360863069
256	0.3599250868
257	0.3595956665
258	0.3585947742
259	0.3581708001
260	0.3573583199
261	0.356252383
262	0.3554011102
263	0.3549896336
264	0.3542532824
265	0.3532206969
266	0.3523266874
267	0.3518820357
268	0.3515649377
269	0.3508191303
270	0.3503404089
271	0.3496822965
272	0.348548852
273	0.347942434
274	0.3470046009
275	0.3457187883
276	0.3451133914
277	0.3445485142
278	0.3440519707
279	0.3436505154
280	0.342958411
281	0.342356189
282	0.3416973884
283	0.3410189792
284	0.3402388654
285	0.3399166815
286	0.3394018507
287	0.3389475898
288	0.3387605692
289	0.3383172091
290	0.3378288872
291	0.3369810877
292	0.336398207
293	0.3358668106
294	0.3351981704
295	0.3348170991
296	0.3340706582
297	0.3335306868
298	0.3330053114
299	0.3326493714
